epoch_s,elapsed_s,north_m,east_m,yaw_rad,target_index,target_north_m,target_east_m,distance_to_target_m,heading_error_rad,cmd_v_m_s,cmd_w_rad_s,right_rate_rad_s,left_rate_rad_s,obstacle_distance_m
1779563352.4192102,8.049273252487183,0.185078707225867,1.000000000275354,-1.4984247405233682e-09,1,3.0,1.0,2.814921292774133,1.400605409429545e-09,0.18,1.6106962208439767e-09,-10.579909523625286,10.579909021689373,5.014921292774133
1779563352.5199952,8.150058269500732,0.18946722642676084,1.0000000003351845,-1.4995909187884345e-09,1,3.0,1.0,2.810532773573239,1.3803309606430503e-09,0.18,1.5873806047395077e-09,-10.579909519992402,10.579909025322255,5.01053277357324
1779563352.6210093,8.251072406768799,0.19101517722049302,1.000000000337893,-1.4996655257756893e-09,1,3.0,1.0,2.808984822779507,1.379375280663453e-09,0.18,1.5862815727629708e-09,-10.57990951982116,10.5799090254935,5.0089848227795075
1779563352.7216,8.35166311264038,0.19591343446035547,1.0000000002674978,-1.498428293237047e-09,1,3.0,1.0,2.8040865655396443,1.4030328010505855e-09,0.18,1.6134877212081731e-09,-10.579909524060238,10.57990902125442,5.0040865655396445
1779563352.8221204,8.452183485031128,0.19900793887871218,1.000000000230645,-1.4978136737706146e-09,1,3.0,1.0,2.800992061121288,1.4154695193724365e-09,0.18,1.6277899472783018e-09,-10.579909526288715,10.579909019025942,5.000992061121288
1779563352.9227505,8.552813529968262,0.2010725614842969,1.0000000002370288,-1.4979495650688287e-09,1,3.0,1.0,2.7989274385157032,1.413264172356321e-09,0.18,1.6252537982097691e-09,-10.579909525893552,10.579909019421107,4.998927438515703
1779563353.023408,8.653470993041992,0.20494548313340472,1.0000000002920557,-1.4990020564961733e-09,1,3.0,1.0,2.7950545168665952,1.3945120613811923e-09,0.18,1.603688870588371e-09,-10.579909522533447,10.57990902278121,4.995054516866595
1779563353.1242642,8.754327297210693,0.20830009095917626,1.0000000003111156,-1.4994106185692354e-09,1,3.0,1.0,2.791699909040824,1.387967518695632e-09,0.18,1.5961626464999765e-09,-10.579909521360761,10.579909023953897,4.991699909040824
1779563353.2252004,8.855263471603394,0.21036288816377408,1.000000000289906,-1.499038471811381e-09,1,3.0,1.0,2.789637111836226,1.3951160227065884e-09,0.18,1.6043834261125766e-09,-10.57990952264167,10.57990902267299,4.989637111836226
1779563353.3262975,8.956360578536987,0.21371431281804992,1.0000000002301181,-1.4979939739898137e-09,1,3.0,1.0,2.78628568718195,1.4154042382585885e-09,0.18,1.6277148739973767e-09,-10.579909526277019,10.57990901903764,4.98628568718195
1779563353.4270892,9.057152271270752,0.21603582263658944,1.000000000205732,-1.4975925173441092e-09,1,3.0,1.0,2.7839641773634107,1.4236936074496498e-09,0.18,1.6372476485670971e-09,-10.579909527762352,10.579909017552305,4.9839641773634105
1779563353.5278606,9.157923698425293,0.22042471037389752,1.0000000002414107,-1.498283520154636e-09,1,3.0,1.0,2.7795752896261026,1.4114318602764797e-09,0.18,1.6231466393179516e-09,-10.579909525565226,10.579909019749431,4.979575289626102
1779563353.6287189,9.258781909942627,0.22197390131135686,1.0000000002650884,-1.4987444847544603e-09,1,3.0,1.0,2.778026098688643,1.4033210149477782e-09,0.18,1.6138191671899448e-09,-10.579909524111883,10.579909021202775,4.978026098688643
1779563353.7297194,9.359782457351685,0.226102075566236,1.000000000280578,-1.4990935388734024e-09,1,3.0,1.0,2.773897924433764,1.3979439827949136e-09,0.18,1.6076355802141504e-09,-10.579909523148396,10.57990902216626,4.973897924433764
1779563353.8301892,9.460252285003662,0.22996931714421717,1.0000000002193608,-1.4980188429855653e-09,1,3.0,1.0,2.770030682855783,1.4188281660665325e-09,0.18,1.6316523909765123e-09,-10.579909526890537,10.579909018424122,4.970030682855783
1779563353.9310658,9.561128854751587,0.22996931714421717,1.0000000002193608,-1.4980188429855653e-09,1,3.0,1.0,2.770030682855783,1.4188281660665325e-09,0.18,1.6316523909765123e-09,-10.579909526890537,10.579909018424122,4.970030682855783
1779563354.0318336,9.661896705627441,0.233322812699037,1.0000000001799194,-1.497358926419728e-09,1,3.0,1.0,2.766677187300963,1.4323280339567646e-09,0.18,1.6471772390502792e-09,-10.579909529309514,10.579909016005143,4.966677187300963
