EpochTime(s),TimeFromStart(s),right_prop_rate(rad/s),left_prop_rate(rad/s),LastDT(s),Yaw(rad),North(m),East(m),IMUSensedYawRate(rad/s),IMUIntegratedYaw(rad),IMUSensedTimeStamp(s),ARUCOSensedNorth(m),ARUCOSensedEast(m),ARUCOSensedYaw(rad),ArucoSensedTimeStamp(s),DepthTimeStamp(s),Depth(m),APFMode,APFEncounter,APFSide,NearestObstacleNorth(m),NearestObstacleEast(m),NearestObstacleDistance(m),COLREGDCPA(m),COLREGTCPA(s)
1779824445.3791745,71.85075259208679,111.41768919874895,61.58811171072404,0.2,3.1313008465623575,1.9758235232229613,0.25658835632520494,0.06291587155769397,3.1618637770836995,1779824445.334244,None,None,None, None, 1779824445.3252087,1.0051950365706412,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824445.5807068,72.0522849559784,-40.03018471227534,-72.6082295640931,0.2,3.1463443785832146,1.9766123625413543,0.2568279122892202,0.08857970140746485,3.180148373036321,1779824445.5406637,1.9764123953883033,0.25684654618667874,3.1659636470966337, 1779824445.485034, 1779824445.525637,1.0512954384052773,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824445.7796729,72.25125098228455,-40.69505588994782,-73.8482419876055,0.2,3.1528569613982778,1.9799319080626379,0.2568572008249854,0.023771061562001705,3.1849082709473233,1779824445.740903,None,None,None, None, 1779824445.7429054,1.0557396189184154,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824445.9796686,72.45124673843384,-41.00117769429615,-74.41829871385707,0.2,3.15585798286265,1.9832829256595175,0.2569102418176016,-0.013440265327658251,3.1821859557002865,1779824445.9434521,None,None,None, None, 1779824445.9352467,1.0735979390694421,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824446.1801305,72.65170860290527,-40.92662028394091,-74.27950954001211,0.2,3.155124443736407,1.9866657875773974,0.2569697720521583,-0.035184283189296096,3.1751864349845778,1779824446.142391,None,None,None, None, 1779824446.13139,1.0356797107653213,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824446.379732,72.85131001472473,-40.494915449129074,-73.47524461575641,0.2,3.1508851908663265,1.9900779887908675,0.2570220532006968,-0.052912891148112554,3.1643877269194145,1779824446.3464756,None,None,None, None, 1779824446.3288026,0.9383677029037285,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824446.5799236,73.05150175094604,-39.87478480590454,-72.3180288765984,0.2,3.144808569287591,1.991116277739059,0.2569790357060978,-0.09403663709204717,3.146406283555483,1779824446.537693,1.9909602149433203,0.25697410642714663,3.157122045823098, 1779824446.488272, 1779824446.5542355,0.970567455000022,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824446.779842,73.25142002105713,110.77526315166975,61.21694433738111,0.2,3.1350791932645308,1.994141662667493,0.25698192619606464,-0.07674617683373668,3.1320367773507494,1779824446.7249272,None,None,None, None, 1779824446.7501967,1.0001399183927633,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824447.0003285,73.4719066619873,111.77519748322206,61.79490528947648,0.2,3.1290640225087394,1.9973628995870458,0.25693945954172853,0.00393697564958225,3.132972628319622,1779824446.9626353,None,None,None, None, 1779824446.9525988,1.0973226430310008,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
1779824447.179446,73.65102410316467,111.66657389313696,61.732055914778016,0.2,3.1297222955481487,2.00077712548201,0.25687693196763095,0.05539502878633019,3.1434252718589337,1779824447.151328,None,None,None, None, 1779824447.132557,1.0490658680711966,track,crossing_from_port,0.0,nan,nan,nan,0.9486753725734611,0.0
